"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.17027,-0.14132,0,1.2016,1,0.671,0.671,0.5,0
-0.16985,-0.14195,0,1.206,1,0.672,0.672,0.5,0
-0.16942,-0.14258,0,1.2103,1,0.673,0.673,0.5,0
-0.169,-0.14321,0,1.2147,1,0.674,0.674,0.5,0
-0.16857,-0.14384,0,1.219,1,0.675,0.675,0.5,0
-0.16814,-0.14447,0,1.2233,1,0.676,0.676,0.5,0
-0.16772,-0.1451,0,1.2277,1,0.677,0.677,0.5,0
-0.16729,-0.14573,0,1.232,1,0.678,0.678,0.5,0
-0.16687,-0.14636,0,1.2364,1,0.679,0.679,0.5,0
-0.16644,-0.14699,0,1.2407,1,0.68,0.68,0.5,0
-0.16599,-0.14759,0,1.2449,1,0.681,0.681,0.5,0
-0.16554,-0.14818,0,1.249,1,0.682,0.682,0.5,0
-0.16509,-0.14877,0,1.2532,1,0.683,0.683,0.5,0
-0.16464,-0.14936,0,1.2574,1,0.684,0.684,0.5,0
-0.16419,-0.14996,0,1.2615,1,0.685,0.685,0.5,0
-0.16374,-0.15055,0,1.2657,1,0.686,0.686,0.5,0
-0.16329,-0.15114,0,1.2699,1,0.687,0.687,0.5,0
-0.16284,-0.15173,0,1.274,1,0.688,0.688,0.5,0
-0.16239,-0.15233,0,1.2782,1,0.689,0.689,0.5,0
-0.16194,-0.15292,0,1.2823,1,0.69,0.69,0.5,0
-0.16147,-0.15347,0,1.2863,1,0.691,0.691,0.5,0
-0.16099,-0.15402,0,1.2903,1,0.692,0.692,0.5,0
-0.16052,-0.15457,0,1.2943,1,0.693,0.693,0.5,0
-0.16005,-0.15513,0,1.2983,1,0.694,0.694,0.5,0
-0.15957,-0.15568,0,1.3022,1,0.695,0.695,0.5,0
-0.1591,-0.15623,0,1.3062,1,0.696,0.696,0.5,0
-0.15862,-0.15678,0,1.3102,1,0.697,0.697,0.5,0
-0.15815,-0.15733,0,1.3142,1,0.698,0.698,0.5,0
-0.15767,-0.15789,0,1.3181,1,0.699,0.699,0.5,0
-0.1572,-0.15844,0,1.3221,1,0.7,0.7,0.5,0
-0.1567,-0.15894,0,1.3259,1,0.701,0.701,0.5,0
-0.1562,-0.15945,0,1.3297,1,0.702,0.702,0.5,0
-0.15571,-0.15996,0,1.3334,1,0.703,0.703,0.5,0
-0.15521,-0.16047,0,1.3372,1,0.704,0.704,0.5,0
-0.15471,-0.16098,0,1.341,1,0.705,0.705,0.5,0
-0.15421,-0.16148,0,1.3447,1,0.706,0.706,0.5,0
