"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.65376,0.00020021,0,0.25449,1,0.938,0.5,0.938,0
0.65895,0.00019333,0,0.25467,1,0.939,0.5,0.939,0
0.66413,0.00018645,0,0.25485,1,0.94,0.5,0.94,0
0.66945,0.00018057,0,0.25503,1,0.941,0.5,0.941,0
0.67477,0.00017469,0,0.2552,1,0.942,0.5,0.942,0
0.68009,0.00016881,0,0.25538,1,0.943,0.5,0.943,0
0.68541,0.00016293,0,0.25555,1,0.944,0.5,0.944,0
0.69073,0.00015705,0,0.25573,1,0.945,0.5,0.945,0
0.69605,0.00015117,0,0.2559,1,0.946,0.5,0.946,0
0.70137,0.00014529,0,0.25608,1,0.947,0.5,0.947,0
0.70669,0.00013941,0,0.25625,1,0.948,0.5,0.948,0
0.71201,0.00013353,0,0.25643,1,0.949,0.5,0.949,0
0.71733,0.00012765,0,0.2566,1,0.95,0.5,0.95,0
0.72278,0.00012286,0,0.25676,1,0.951,0.5,0.951,0
0.72822,0.00011807,0,0.25693,1,0.952,0.5,0.952,0
0.73367,0.00011327,0,0.25709,1,0.953,0.5,0.953,0
0.73912,0.00010848,0,0.25726,1,0.954,0.5,0.954,0
0.74456,0.00010369,0,0.25742,1,0.955,0.5,0.955,0
0.75001,9.8896e-05,0,0.25758,1,0.956,0.5,0.956,0
0.75546,9.4103e-05,0,0.25775,1,0.957,0.5,0.957,0
0.7609,8.931e-05,0,0.25791,1,0.958,0.5,0.958,0
0.76635,8.4518e-05,0,0.25807,1,0.959,0.5,0.959,0
0.7718,7.9725e-05,0,0.25824,1,0.96,0.5,0.96,0
0.77736,7.6068e-05,0,0.25838,1,0.961,0.5,0.961,0
0.78292,7.2411e-05,0,0.25853,1,0.962,0.5,0.962,0
0.78848,6.8754e-05,0,0.25868,1,0.963,0.5,0.963,0
0.79404,6.5097e-05,0,0.25883,1,0.964,0.5,0.964,0
0.79961,6.144e-05,0,0.25898,1,0.965,0.5,0.965,0
0.80517,5.7782e-05,0,0.25913,1,0.966,0.5,0.966,0
0.81073,5.4125e-05,0,0.25928,1,0.967,0.5,0.967,0
0.81629,5.0468e-05,0,0.25942,1,0.968,0.5,0.968,0
0.82185,4.6811e-05,0,0.25957,1,0.969,0.5,0.969,0
0.82742,4.3154e-05,0,0.25972,1,0.97,0.5,0.97,0
0.83308,4.0648e-05,0,0.25985,1,0.971,0.5,0.971,0
0.83875,3.8142e-05,0,0.25999,1,0.972,0.5,0.972,0
0.84441,3.5636e-05,0,0.26012,1,0.973,0.5,0.973,0
0.85008,3.313e-05,0,0.26026,1,0.974,0.5,0.974,0
0.85575,3.0623e-05,0,0.26039,1,0.975,0.5,0.975,0
0.86141,2.8117e-05,0,0.26052,1,0.976,0.5,0.976,0
0.86708,2.5611e-05,0,0.26066,1,0.977,0.5,0.977,0
0.87275,2.3105e-05,0,0.26079,1,0.978,0.5,0.978,0
0.87841,2.0599e-05,0,0.26092,1,0.979,0.5,0.979,0
0.88408,1.8092e-05,0,0.26106,1,0.98,0.5,0.98,0
0.88984,1.6748e-05,0,0.26118,1,0.981,0.5,0.981,0
0.89559,1.5403e-05,0,0.2613,1,0.982,0.5,0.982,0
0.90135,1.4059e-05,0,0.26143,1,0.983,0.5,0.983,0
0.90711,1.2714e-05,0,0.26155,1,0.984,0.5,0.984,0
0.91286,1.137e-05,0,0.26167,1,0.985,0.5,0.985,0
0.91862,1.0025e-05,0,0.2618,1,0.986,0.5,0.986,0
0.92438,8.6804e-06,0,0.26192,1,0.987,0.5,0.987,0
0.93014,7.3359e-06,0,0.26205,1,0.988,0.5,0.988,0
0.93589,5.9912e-06,0,0.26217,1,0.989,0.5,0.989,0
0.94165,4.6467e-06,0,0.26229,1,0.99,0.5,0.99,0
0.94749,4.182e-06,0,0.26235,1,0.991,0.5,0.991,0
0.95332,3.7174e-06,0,0.26241,1,0.992,0.5,0.992,0
0.95916,3.2527e-06,0,0.26247,1,0.993,0.5,0.993,0
0.96499,2.788e-06,0,0.26253,1,0.994,0.5,0.994,0
0.97083,2.3233e-06,0,0.26259,1,0.995,0.5,0.995,0
0.97666,1.8587e-06,0,0.26265,1,0.996,0.5,0.996,0
0.9825,1.394e-06,0,0.26271,1,0.997,0.5,0.997,0
0.98833,9.2933e-07,0,0.26277,1,0.998,0.5,0.998,0
0.99417,4.6466e-07,0,0.26283,1,0.999,0.5,0.999,0
1,0,0,0.26289,1,1,0.5,1,0
